Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-3,38390741484675E-05","-0,0973178586489975","0,575402860747505",0,0,0,"156,563494224155","34,6372554238751","0,000516925645420627","-0,00303029721105787","33,7801257863321","0,504737010979515","1,1844271387677",0,0,0,0,0,0,package://RC10/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/base_link.STL,,RC10-base-1,tf_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"-0,0973178586489975","3,38390741488516E-05","0,486402860747505",0,0,0,"156,563494224155","33,7801257863321","-0,000516925645417504","0,504737010979515","34,6372554238751","0,00303029721105482","1,1844271387677",0,0,0,0,0,0,package://RC10/meshes/link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/link_1.STL,,RC10-1-1,tf_1,axis_1,joint_1,revolute,0,0,"0,089",0,0,"1,5708",base_link,0,0,1,100,15707,0,"3,1415",,,,,,,,
link_2,"0,406902860747505","3,38390741493429E-05","0,00281785864899585",0,0,0,"156,563494224155","1,18442713876769","0,00303029721107029","-0,504737010979411","34,6372554238751","0,000516925645418267","33,7801257863321",0,0,0,0,0,0,package://RC10/meshes/link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/link_2.STL,,RC10-2-1,tf_2,axis_2,joint_2,revolute,"-0,0945",0,"0,0795","3,1416","-1,5708",0,link_1,0,0,-1,100,15707,0,"3,1415",,,,,,,,
link_3,"-0,203097139252495","-0,000283839074149864","-0,0028178586489962",0,0,0,"156,563494224155","1,1844271387677","-0,00303029721105424","0,504737010979633","34,6372554238751","0,000516925645417615","33,7801257863321",0,0,0,0,0,0,package://RC10/meshes/link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/link_3.STL,,RC10-3-1,tf_3,axis_3,joint_3,revolute,"0,61","-0,00025",0,"-3,1416",0,0,link_2,0,0,-1,100,15707,0,"3,1415",,,,,,,,
link_4,"-0,753297139252228","3,3845019668215E-05","-0,0089821413510017",0,0,0,"156,563494224155","1,18442713881554","0,0030305612428806","-0,504737010975807","34,6372554238273","0,000516929629135355","33,7801257863321",0,0,0,0,0,0,package://RC10/meshes/link_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/link_4.STL,,RC10-4-1,tf_4,axis_4,joint_4,revolute,"0,5502","-0,00025","-0,0118","-3,1416",0,0,link_3,0,0,-1,100,15707,0,"3,1415",,,,,,,,
link_5,"0,0679821413508016","3,38390744529085E-05","-0,834097139252495",0,0,0,"156,563494224155","33,7801257863321","-0,000516925649227022","0,50473701097982","34,6372554238751","0,00303029721332692","1,18442713876771",0,0,0,0,0,0,package://RC10/meshes/link_5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/link_5.STL,,RC10-5-1,tf_5,axis_5,joint_5,revolute,"0,0808",0,"0,059",0,"1,5708",0,link_4,0,0,-1,100,15707,0,"3,1415",,,,,,,,
link_6,"3,3839074150244E-05","-0,893097139252494","-0,0128178586489976",0,0,0,"156,563494224155","34,6372554238751","0,00303029721109266","-0,000516925645417255","1,18442713876771","0,504737010979951","33,7801257863321",0,0,0,0,0,0,package://RC10/meshes/link_6.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RC10/meshes/link_6.STL,,RC10-6-1,tf_6,axis_6,joint_6,revolute,"0,0808",0,"0,059","1,5708",0,"1,5708",link_5,0,0,1,100,15707,0,"3,1415",,,,,,,,
